repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.8,0.9090909090909091,0.7692307692307693,0.8333333333333333,0.8914835164835164,0.9491766562792372
0,test,0.723404255319149,0.8125,0.5652173913043478,0.6666666666666667,0.7776268115942029,0.8286512487221789
1,validation,0.825,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.912087912087912,0.9626512633285209
1,test,0.7021276595744681,0.7045454545454546,0.6739130434782609,0.688888888888889,0.7598505434782609,0.8089220470557876
2,validation,0.9,0.9583333333333334,0.8846153846153846,0.9199999999999999,0.9368131868131868,0.9736498743731185
2,test,0.7021276595744681,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.7676630434782609,0.8146180570789001
3,validation,0.775,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.8791208791208791,0.9269985531552656
3,test,0.648936170212766,0.6511627906976745,0.6086956521739131,0.6292134831460675,0.720108695652174,0.739888232477491
4,validation,0.8,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8832417582417582,0.9515217295787948
4,test,0.6914893617021277,0.6888888888888889,0.6739130434782609,0.6813186813186812,0.7522644927536232,0.78522650809538
5,validation,0.775,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.8324175824175823,0.918262230674157
5,test,0.6914893617021277,0.717948717948718,0.6086956521739131,0.6588235294117647,0.7618885869565217,0.8057463284614892
6,validation,0.9,0.9583333333333334,0.8846153846153846,0.9199999999999999,0.9780219780219781,0.9881282176052099
6,test,0.723404255319149,0.75,0.6521739130434783,0.6976744186046512,0.7670969202898551,0.8088971327046072
7,validation,0.825,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.8736263736263736,0.9170943968598374
7,test,0.7021276595744681,0.7142857142857143,0.6521739130434783,0.6818181818181819,0.75,0.7938228321958943
8,validation,0.85,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.9546703296703296,0.978778837983947
8,test,0.7340425531914894,0.8387096774193549,0.5652173913043478,0.6753246753246753,0.7796648550724639,0.829085336965136
9,validation,0.875,0.8888888888888888,0.9230769230769231,0.9056603773584906,0.8846153846153846,0.9384930795918401
9,test,0.7127659574468085,0.6938775510204082,0.7391304347826086,0.7157894736842104,0.7510190217391304,0.7820485021828885
