repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,test,0.6063829787234043,0.5737704918032787,0.7608695652173914,0.6542056074766355,0.6096014492753623,0.7258306668082073
1,test,0.5106382978723404,0.5,0.1956521739130435,0.28125,0.5040760869565217,0.5446345975948196
2,test,0.5638297872340425,0.5362318840579711,0.8043478260869565,0.6434782608695652,0.568840579710145,0.7181621954979958
3,test,0.5531914893617021,0.5357142857142857,0.6521739130434783,0.5882352941176471,0.5552536231884058,0.6790504823576053
4,test,0.5106382978723404,0.0,0.0,0.0,0.5,0.7446808510638298
5,test,0.5531914893617021,0.5238095238095238,0.9565217391304348,0.6769230769230768,0.5615942028985508,0.7508039293423197
6,test,0.574468085106383,0.5441176470588235,0.8043478260869565,0.6491228070175439,0.5792572463768115,0.7221050769984219
7,test,0.574468085106383,0.5428571428571428,0.8260869565217391,0.6551724137931034,0.5797101449275364,0.7270252411788026
8,test,0.5638297872340425,0.5362318840579711,0.8043478260869565,0.6434782608695652,0.568840579710145,0.7181621954979958
9,test,0.5851063829787234,0.5538461538461539,0.782608695652174,0.6486486486486487,0.5892210144927537,0.721418914110866
