repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.35,0.0,0.0,0.0,0.7348901098901099,0.8847961780866193
0,test,0.5106382978723404,0.0,0.0,0.0,0.6995018115942029,0.7270933088085982
1,validation,0.35,0.0,0.0,0.0,0.6923076923076923,0.868159142129039
1,test,0.5106382978723404,0.0,0.0,0.0,0.6956521739130435,0.724764603505114
2,validation,0.35,0.0,0.0,0.0,0.7266483516483516,0.8825218500382974
2,test,0.5106382978723404,0.0,0.0,0.0,0.6990489130434783,0.7267624701122692
3,validation,0.35,0.0,0.0,0.0,0.7857142857142857,0.90625
3,test,0.5106382978723404,0.0,0.0,0.0,0.6920289855072463,0.7249536566640353
4,validation,0.35,0.0,0.0,0.0,0.6428571428571429,0.8465275084969482
4,test,0.5106382978723404,0.0,0.0,0.0,0.698143115942029,0.7262625564796399
5,validation,0.35,0.0,0.0,0.0,0.6730769230769231,0.8603854794644268
5,test,0.5106382978723404,0.0,0.0,0.0,0.6877264492753623,0.723537348595086
6,validation,0.35,0.0,0.0,0.0,0.8214285714285714,0.9193548387096775
6,test,0.5106382978723404,0.0,0.0,0.0,0.6920289855072463,0.725055770684379
7,validation,0.35,0.0,0.0,0.0,0.7142857142857143,0.8823529411764706
7,test,0.5106382978723404,0.0,0.0,0.0,0.6906702898550725,0.7249068477700427
8,validation,0.35,0.0,0.0,0.0,0.8571428571428572,0.9333333333333333
8,test,0.5106382978723404,0.0,0.0,0.0,0.6902173913043478,0.7238891894678727
9,validation,0.35,0.0,0.0,0.0,0.6785714285714286,0.8714285714285714
9,test,0.5106382978723404,0.0,0.0,0.0,0.6929347826086957,0.7250304639885701
