repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.85,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.9532967032967032,0.97854952134186
0,test,0.6702127659574468,0.6086956521739131,0.9130434782608695,0.7304347826086955,0.7531702898550724,0.7571729930671314
1,validation,0.85,0.8571428571428571,0.9230769230769231,0.888888888888889,0.9175824175824177,0.9646587764397129
1,test,0.6170212765957447,0.5625,0.9782608695652174,0.7142857142857144,0.7024456521739131,0.6875549707373331
2,validation,0.95,1.0,0.9230769230769231,0.9600000000000001,1.0,1.0
2,test,0.6808510638297872,0.6212121212121212,0.8913043478260869,0.7321428571428572,0.8038949275362319,0.818581218232794
3,validation,0.925,0.9259259259259259,0.9615384615384616,0.9433962264150944,0.9313186813186813,0.9525936947010676
3,test,0.6063829787234043,0.5616438356164384,0.8913043478260869,0.6890756302521008,0.7459239130434783,0.7235624661703457
4,validation,0.825,0.8518518518518519,0.8846153846153846,0.8679245283018868,0.8653846153846154,0.9297412037773193
4,test,0.44680851063829785,0.46511627906976744,0.8695652173913043,0.6060606060606061,0.5692934782608695,0.6441791852282318
5,validation,0.875,0.92,0.8846153846153846,0.9019607843137256,0.9120879120879122,0.9655339223250938
5,test,0.5212765957446809,0.5068493150684932,0.8043478260869565,0.6218487394957983,0.5629528985507247,0.6178836317113767
6,validation,0.825,0.8275862068965517,0.9230769230769231,0.8727272727272727,0.9423076923076923,0.9697174556492788
6,test,0.6276595744680851,0.5714285714285714,0.9565217391304348,0.7154471544715447,0.6979166666666666,0.6621038445509547
7,validation,0.85,0.9545454545454546,0.8076923076923077,0.875,0.9642857142857142,0.9806042587360513
7,test,0.6382978723404256,0.59375,0.8260869565217391,0.6909090909090908,0.7531702898550724,0.7878666691074552
8,validation,0.875,0.8620689655172413,0.9615384615384616,0.9090909090909091,0.9615384615384615,0.9792156839015621
8,test,0.574468085106383,0.5555555555555556,0.6521739130434783,0.6,0.5733695652173912,0.5690540718787178
9,validation,0.875,0.8888888888888888,0.9230769230769231,0.9056603773584906,0.978021978021978,0.9887352273426544
9,test,0.6276595744680851,0.5733333333333334,0.9347826086956522,0.7107438016528925,0.7903079710144929,0.8105156579099215
