repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.8076923076923077,1.0,0.5833333333333334,0.7368421052631579,0.863095238095238,0.8839393346186826
0,test,0.6551724137931034,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.75,0.773843306873679
1,validation,0.8461538461538461,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.9285714285714286,0.9276212349741761
1,test,0.8448275862068966,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.9002403846153846,0.9106200515905478
2,validation,0.8076923076923077,1.0,0.5833333333333334,0.7368421052631579,0.8095238095238095,0.8343034416563828
2,test,0.8771929824561403,0.95,0.76,0.8444444444444444,0.8525,0.8912865049507194
3,validation,0.6538461538461539,1.0,0.25,0.4,0.6309523809523809,0.6533630212498499
3,test,0.7719298245614035,1.0,0.5,0.6666666666666666,0.8535980148883375,0.8808449757653465
4,validation,0.7692307692307693,0.8,0.6666666666666666,0.7272727272727272,0.8154761904761905,0.8422957679575327
4,test,0.7719298245614035,0.8823529411764706,0.5769230769230769,0.6976744186046512,0.8808933002481389,0.8867664130998067
5,validation,0.9230769230769231,0.8571428571428571,1.0,0.923076923076923,0.9761904761904763,0.9742826617826618
5,test,0.6379310344827587,0.5675675675675675,0.8076923076923077,0.6666666666666666,0.7644230769230769,0.7827562292438373
6,validation,0.8461538461538461,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9107142857142857,0.9302489177489177
6,test,0.8275862068965517,0.8333333333333334,0.7692307692307693,0.8,0.8533653846153846,0.8897328061178909
7,validation,0.8461538461538461,1.0,0.6666666666666666,0.8,0.9226190476190477,0.9291182745130114
7,test,0.8947368421052632,0.9130434782608695,0.84,0.8749999999999999,0.9525,0.9418744279004576
8,validation,0.9615384615384616,0.9230769230769231,1.0,0.9600000000000001,0.9940476190476191,0.9933226495726496
8,test,0.8947368421052632,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.945409429280397,0.9523004564838116
9,validation,0.7692307692307693,0.8,0.6666666666666666,0.7272727272727272,0.8392857142857142,0.8709188086047355
9,test,0.7543859649122807,1.0,0.46153846153846156,0.631578947368421,0.8560794044665012,0.8815407843354496
10,validation,0.8076923076923077,0.7692307692307693,0.8333333333333334,0.8,0.9523809523809523,0.9554563492063494
10,test,0.5862068965517241,0.5294117647058824,0.6923076923076923,0.5999999999999999,0.7139423076923077,0.7721989990468324
11,validation,0.9615384615384616,1.0,0.9166666666666666,0.9565217391304348,0.9464285714285714,0.9633928571428572
11,test,0.7758620689655172,0.782608695652174,0.6923076923076923,0.7346938775510203,0.8341346153846154,0.8539185901501913
12,validation,0.7307692307692307,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.8392857142857144,0.8748595803086648
12,test,0.7894736842105263,0.8095238095238095,0.68,0.7391304347826089,0.83375,0.8648833369333847
13,validation,0.8076923076923077,0.7692307692307693,0.8333333333333334,0.8,0.9166666666666667,0.9260227589174959
13,test,0.7894736842105263,0.7916666666666666,0.7307692307692307,0.76,0.8399503722084367,0.8712289027041688
14,validation,0.8846153846153846,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9761904761904763,0.9754779942279943
14,test,0.7017543859649122,1.0,0.34615384615384615,0.5142857142857142,0.8337468982630274,0.8283700969436929
15,validation,0.8461538461538461,0.9,0.75,0.8181818181818182,0.8809523809523809,0.9076041334872857
15,test,0.6724137931034483,0.6206896551724138,0.6923076923076923,0.6545454545454545,0.7355769230769231,0.7710390437209835
16,validation,0.6538461538461539,0.6666666666666666,0.5,0.5714285714285715,0.6666666666666667,0.7455601650241743
16,test,0.6896551724137931,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.7620192307692308,0.814097629658461
17,validation,0.7307692307692307,0.8571428571428571,0.5,0.631578947368421,0.7559523809523809,0.7899573906367385
17,test,0.8947368421052632,0.9130434782608695,0.84,0.8749999999999999,0.91875,0.9325119582830239
18,validation,0.7307692307692307,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.8333333333333334,0.8235305096663456
18,test,0.8421052631578947,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.879652605459057,0.9027019860185821
19,validation,0.6923076923076923,0.75,0.5,0.6,0.7976190476190477,0.7922902364638298
19,test,0.7894736842105263,1.0,0.5384615384615384,0.7000000000000001,0.8610421836228288,0.8891662668817545
20,validation,0.8461538461538461,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9464285714285714,0.9362289331039331
20,test,0.5344827586206896,0.4827586206896552,0.5384615384615384,0.509090909090909,0.6334134615384616,0.6874217274061099
21,validation,0.9230769230769231,1.0,0.8333333333333334,0.9090909090909091,0.9761904761904763,0.9742826617826619
21,test,0.7931034482758621,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.8509615384615384,0.8665868664548633
22,validation,0.8461538461538461,1.0,0.6666666666666666,0.8,0.9523809523809523,0.9657894736842105
22,test,0.8596491228070176,0.9473684210526315,0.72,0.8181818181818181,0.95625,0.957460357433737
23,validation,0.8076923076923077,0.8888888888888888,0.6666666666666666,0.761904761904762,0.8690476190476191,0.9040014465786778
23,test,0.8245614035087719,1.0,0.6153846153846154,0.761904761904762,0.8846153846153846,0.8979976011292523
24,validation,0.8461538461538461,0.9,0.75,0.8181818181818182,0.8511904761904762,0.890378315856257
24,test,0.8245614035087719,0.9,0.6923076923076923,0.7826086956521738,0.9540942928039702,0.9421537119332826
25,validation,0.8461538461538461,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8869047619047619,0.9179240185314353
25,test,0.7241379310344828,0.65625,0.8076923076923077,0.7241379310344829,0.796875,0.8210750221348386
26,validation,0.8461538461538461,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666667,0.9280980593480594
26,test,0.8103448275862069,0.8947368421052632,0.6538461538461539,0.7555555555555555,0.859375,0.8710717761436317
27,validation,0.7307692307692307,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.875,0.8875643924502286
27,test,0.8947368421052632,0.9130434782608695,0.84,0.8749999999999999,0.92125,0.9408660539393063
28,validation,0.9230769230769231,0.8571428571428571,1.0,0.923076923076923,0.9583333333333334,0.9509661634661635
28,test,0.8771929824561403,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.9255583126550868,0.9409558348281317
29,validation,0.7692307692307693,0.8,0.6666666666666666,0.7272727272727272,0.8333333333333333,0.8359851144226145
29,test,0.7543859649122807,0.8333333333333334,0.5769230769230769,0.6818181818181818,0.9081885856079404,0.8989210000006209
30,validation,0.8076923076923077,0.8888888888888888,0.6666666666666666,0.761904761904762,0.8214285714285715,0.8713858165946267
30,test,0.6379310344827587,0.6,0.5769230769230769,0.5882352941176471,0.6790865384615385,0.7039079841249509
31,validation,0.8461538461538461,0.9,0.75,0.8181818181818182,0.8988095238095238,0.9084960479407074
31,test,0.7068965517241379,0.6956521739130435,0.6153846153846154,0.6530612244897959,0.7848557692307692,0.8152514984695098
32,validation,0.6923076923076923,0.6,1.0,0.7499999999999999,0.9821428571428572,0.9781080031080032
32,test,0.7719298245614035,0.6764705882352942,0.92,0.7796610169491526,0.8925,0.9097995609624866
33,validation,0.8461538461538461,0.9,0.75,0.8181818181818182,0.9107142857142858,0.9166011985090933
33,test,0.8596491228070176,0.875,0.8076923076923077,0.8400000000000001,0.9255583126550869,0.9357313930791313
34,validation,0.8076923076923077,0.8888888888888888,0.6666666666666666,0.761904761904762,0.8869047619047619,0.9139034345284346
34,test,0.7719298245614035,1.0,0.5,0.6666666666666666,0.8349875930521091,0.8601162734347089
35,validation,0.7692307692307693,0.75,0.75,0.75,0.8333333333333333,0.8642011923261923
35,test,0.5862068965517241,0.5277777777777778,0.7307692307692307,0.6129032258064515,0.7007211538461539,0.7499914331995057
36,validation,0.8461538461538461,0.9,0.75,0.8181818181818182,0.9345238095238095,0.9282151025717202
36,test,0.7758620689655172,0.7241379310344828,0.8076923076923077,0.7636363636363636,0.876201923076923,0.8934759512089248
37,validation,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421,0.5119047619047619,0.5778068076599171
37,test,0.43859649122807015,0.43859649122807015,1.0,0.6097560975609756,0.525,0.4809674668811921
38,validation,0.6923076923076923,0.7,0.5833333333333334,0.6363636363636365,0.7678571428571428,0.7788863074060444
38,test,0.8421052631578947,0.8695652173913043,0.7692307692307693,0.8163265306122449,0.9392059553349876,0.9411825834835683
39,validation,0.8461538461538461,0.9,0.75,0.8181818181818182,0.8869047619047619,0.8783504961813786
39,test,0.8070175438596491,1.0,0.5769230769230769,0.7317073170731707,0.9466501240694789,0.9496199017725386
40,validation,0.7307692307692307,0.8571428571428571,0.5,0.631578947368421,0.7738095238095237,0.8151727648999321
40,test,0.6724137931034483,0.6060606060606061,0.7692307692307693,0.6779661016949152,0.7584134615384615,0.7828061513647276
41,validation,0.7307692307692307,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.8214285714285714,0.8524019961519962
41,test,0.6724137931034483,0.6060606060606061,0.7692307692307693,0.6779661016949152,0.8269230769230769,0.8399988633916127
42,validation,0.6923076923076923,0.75,0.5,0.6,0.75,0.7940440629799898
42,test,0.8596491228070176,1.0,0.68,0.8095238095238095,0.91375,0.9296097092476421
43,validation,0.8461538461538461,0.9,0.75,0.8181818181818182,0.8690476190476191,0.8761597299640778
