,repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,1,test,0.6309134906231095,0.8262626262626263,0.23230769230769233,0.3567832233154814,0.5941780397022333,0.5399713313506417
1,2,test,0.6376285541439807,0.8666666666666666,0.24,0.3708333333333334,0.6007459677419356,0.5495844385499558
2,3,test,0.6308529945553538,0.7998412698412698,0.23353846153846153,0.3561904761904762,0.5947934243176178,0.5403046878912579
3,4,test,0.6272837265577736,0.8209523809523809,0.22492307692307692,0.35088383838383835,0.5902841191066998,0.5328491786495416
4,5,test,0.6268602540834846,0.8,0.22430769230769232,0.3461227071473751,0.5898756203473946,0.5323762576201777
5,6,test,0.6341197822141561,0.8306349206349207,0.2332307692307692,0.36177333103329307,0.597462158808933,0.5423264217129915
6,7,test,0.630550514216576,0.8214285714285715,0.22430769230769232,0.35154605830602037,0.5932022332506204,0.5356936705158122
7,8,test,0.6306110102843314,0.796984126984127,0.23292307692307693,0.35863837617158306,0.5942841191066999,0.5364113943124832
8,9,test,0.6305505142165758,0.8141919191919194,0.2316923076923077,0.3529835718071012,0.5936687344913152,0.5358173883184773
9,10,test,0.6271627344222626,0.8111904761904762,0.22553846153846155,0.34890370224336065,0.590692617866005,0.5332196213345034
