repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.8461538461538461,1.0,0.6666666666666666,0.8,0.9583333333333333,0.9684454191033138
0,test,0.6551724137931034,0.6,0.6923076923076923,0.6428571428571429,0.7151442307692308,0.6363414775232424
1,validation,0.9230769230769231,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9285714285714286,0.901540041521659
1,test,0.603448275862069,0.5405405405405406,0.7692307692307693,0.6349206349206349,0.7563100961538463,0.7247865339632197
2,validation,0.6153846153846154,0.5454545454545454,1.0,0.7058823529411764,0.9523809523809524,0.9201384263884265
2,test,0.5263157894736842,0.48,0.96,0.64,0.85625,0.884955559790018
3,validation,0.8076923076923077,0.7692307692307693,0.8333333333333334,0.8,0.8511904761904762,0.8143475465166643
3,test,0.7543859649122807,0.7727272727272727,0.6538461538461539,0.7083333333333333,0.8089330024813896,0.7841921585965878
4,validation,0.6923076923076923,0.625,0.8333333333333334,0.7142857142857143,0.8630952380952381,0.8357773286082111
4,test,0.7017543859649122,0.6551724137931034,0.7307692307692307,0.6909090909090909,0.7655086848635235,0.759402049415228
5,validation,0.6923076923076923,0.625,0.8333333333333334,0.7142857142857143,0.8273809523809524,0.7011654947219964
5,test,0.6896551724137931,0.6052631578947368,0.8846153846153846,0.71875,0.703125,0.5695749010817863
6,validation,0.8076923076923077,0.8181818181818182,0.75,0.7826086956521738,0.8928571428571428,0.8817716563120976
6,test,0.6206896551724138,0.5833333333333334,0.5384615384615384,0.5599999999999999,0.6670673076923077,0.6724404950107253
7,validation,0.7692307692307693,0.75,0.75,0.75,0.8571428571428571,0.8718053324670972
7,test,0.6491228070175439,0.6086956521739131,0.56,0.5833333333333334,0.7437499999999999,0.7400552905226576
8,validation,0.7692307692307693,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.8273809523809523,0.819118531931032
8,test,0.7543859649122807,0.7142857142857143,0.7692307692307693,0.7407407407407408,0.8163771712158809,0.813600466216552
9,validation,0.7307692307692307,0.6923076923076923,0.75,0.7199999999999999,0.8035714285714286,0.8059623146579669
9,test,0.5964912280701754,0.5652173913043478,0.5,0.5306122448979592,0.5732009925558312,0.5549795761628845
10,validation,0.6538461538461539,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.6964285714285714,0.7291592301460723
10,test,0.6896551724137931,0.7,0.5384615384615384,0.608695652173913,0.7524038461538461,0.6790149402121831
11,validation,0.6923076923076923,0.75,0.5,0.6,0.7321428571428572,0.7771877245561457
11,test,0.6896551724137931,0.7222222222222222,0.5,0.5909090909090908,0.7115384615384616,0.7095117303978906
12,validation,0.5384615384615384,0.5,0.3333333333333333,0.4,0.5476190476190477,0.5865788552169626
12,test,0.8421052631578947,0.9,0.72,0.7999999999999999,0.8999999999999999,0.8956680811753972
