repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.8846153846153846,1.0,0.75,0.8571428571428571,0.9166666666666667,0.9364831349206351
0,test,0.6551724137931034,0.6,0.6923076923076923,0.6428571428571429,0.7055288461538461,0.7617791871017601
1,validation,0.8076923076923077,0.7692307692307693,0.8333333333333334,0.8,0.9047619047619048,0.9000744382323329
1,test,0.7586206896551724,0.7142857142857143,0.7692307692307693,0.7407407407407408,0.84375,0.8543947357277892
2,validation,0.7307692307692307,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.8333333333333334,0.8522598320295689
2,test,0.8070175438596491,0.7916666666666666,0.76,0.7755102040816326,0.90625,0.9136191648194805
3,validation,0.7692307692307693,0.875,0.5833333333333334,0.7000000000000001,0.8214285714285714,0.8437680280317664
3,test,0.8771929824561403,0.9523809523809523,0.7692307692307693,0.8510638297872339,0.9069478908188585,0.9282347150472243
4,validation,0.6923076923076923,1.0,0.3333333333333333,0.5,0.7916666666666667,0.7896098658966306
4,test,0.7894736842105263,1.0,0.5384615384615384,0.7000000000000001,0.8523573200992556,0.8706074350794615
5,validation,0.9615384615384616,1.0,0.9166666666666666,0.9565217391304348,0.9523809523809523,0.9657894736842105
5,test,0.5517241379310345,0.5,0.6538461538461539,0.5666666666666668,0.6586538461538461,0.7203761116528821
6,validation,1.0,1.0,1.0,1.0,1.0,1.0
6,test,0.8793103448275862,0.9523809523809523,0.7692307692307693,0.8510638297872339,0.8942307692307692,0.9134653445730048
7,validation,0.7692307692307693,0.75,0.75,0.75,0.875,0.8883296071618441
7,test,0.8421052631578947,0.9444444444444444,0.68,0.7906976744186047,0.86625,0.8884166676727097
8,validation,0.7692307692307693,1.0,0.5,0.6666666666666666,0.8869047619047619,0.9034434859802506
8,test,0.8070175438596491,0.9411764705882353,0.6153846153846154,0.744186046511628,0.847394540942928,0.8760949277480613
9,validation,0.8846153846153846,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9404761904761905,0.9412996861526273
9,test,0.7719298245614035,0.8823529411764706,0.5769230769230769,0.6976744186046512,0.9143920595533499,0.9100849191602945
10,validation,0.7307692307692307,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.8452380952380953,0.8692306471621488
10,test,0.6896551724137931,0.6333333333333333,0.7307692307692307,0.6785714285714285,0.7932692307692308,0.8106052789611324
11,validation,0.9230769230769231,1.0,0.8333333333333334,0.9090909090909091,0.9345238095238095,0.9472455176402544
11,test,0.7586206896551724,0.8333333333333334,0.5769230769230769,0.6818181818181818,0.8665865384615384,0.866914679085543
12,validation,0.7692307692307693,0.8,0.6666666666666666,0.7272727272727272,0.8095238095238095,0.8561439634998073
12,test,0.8596491228070176,0.9473684210526315,0.72,0.8181818181818181,0.90625,0.9209461577747335
13,validation,0.7692307692307693,0.75,0.75,0.75,0.8809523809523809,0.8739298453452865
13,test,0.8421052631578947,0.84,0.8076923076923077,0.8235294117647058,0.9267990074441688,0.9386469308301886
14,validation,0.8076923076923077,0.8888888888888888,0.6666666666666666,0.761904761904762,0.898809523809524,0.9256583462833463
14,test,0.7894736842105263,0.9375,0.5769230769230769,0.7142857142857143,0.8560794044665012,0.8668015576461426
15,validation,0.8076923076923077,1.0,0.5833333333333334,0.7368421052631579,0.7440476190476191,0.819966332686921
15,test,0.7241379310344828,0.75,0.5769230769230769,0.6521739130434783,0.7515024038461539,0.7861415316985021
16,validation,0.8076923076923077,0.8181818181818182,0.75,0.7826086956521738,0.8571428571428572,0.8683992478110125
16,test,0.7586206896551724,0.7142857142857143,0.7692307692307693,0.7407407407407408,0.8497596153846154,0.8575046880039527
17,validation,0.7307692307692307,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.8452380952380952,0.8607805866637388
17,test,0.7543859649122807,0.6774193548387096,0.84,0.75,0.915,0.9234169233468603
18,validation,0.5384615384615384,0.0,0.0,0.0,0.5,0.7307692307692308
18,test,0.543859649122807,0.0,0.0,0.0,0.5,0.7280701754385965
19,validation,0.7692307692307693,0.875,0.5833333333333334,0.7000000000000001,0.875,0.8965608928108928
19,test,0.7543859649122807,0.9285714285714286,0.5,0.65,0.8771712158808933,0.8829782796844359
20,validation,0.8846153846153846,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9285714285714286,0.939290972185709
20,test,0.6206896551724138,0.5526315789473685,0.8076923076923077,0.6562500000000001,0.7560096153846154,0.818526734980412
21,validation,0.9230769230769231,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9702380952380953,0.9712121212121212
21,test,0.7068965517241379,0.6451612903225806,0.7692307692307693,0.7017543859649122,0.8257211538461539,0.8461281004770866
22,validation,0.8076923076923077,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.886904761904762,0.8997426184926184
22,test,0.7894736842105263,0.696969696969697,0.92,0.793103448275862,0.9199999999999999,0.9364708256533003
23,validation,0.7307692307692307,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.8392857142857142,0.8667085466158356
23,test,0.8421052631578947,0.9473684210526315,0.6923076923076923,0.7999999999999999,0.911910669975186,0.9311732416714058
24,validation,0.8076923076923077,1.0,0.5833333333333334,0.7368421052631579,0.898809523809524,0.9084504585326955
24,test,0.8070175438596491,1.0,0.5769230769230769,0.7317073170731707,0.9392059553349876,0.9385449769260974
25,validation,0.6538461538461539,0.8,0.3333333333333333,0.47058823529411764,0.8154761904761905,0.8354735396182765
25,test,0.6551724137931034,0.6666666666666666,0.46153846153846156,0.5454545454545455,0.6826923076923077,0.73197138020833
26,validation,0.7692307692307693,0.875,0.5833333333333334,0.7000000000000001,0.8988095238095237,0.9020162707662709
