repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.8,0.95,0.7307692307692307,0.8260869565217392,0.9162087912087913,0.962343184791542
0,test,0.723404255319149,0.7941176470588235,0.5869565217391305,0.675,0.7531702898550725,0.8113441336656698
1,validation,0.825,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.9038461538461537,0.958780114055313
1,test,0.7021276595744681,0.725,0.6304347826086957,0.6744186046511628,0.7584918478260869,0.8122306576521713
2,validation,0.85,1.0,0.7692307692307693,0.8695652173913044,0.9478021978021978,0.9780192655855786
2,test,0.7340425531914894,0.8181818181818182,0.5869565217391305,0.6835443037974683,0.7708333333333334,0.8280638242556124
3,validation,0.825,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.9292582417582418,0.9625922696651483
3,test,0.7021276595744681,0.7142857142857143,0.6521739130434783,0.6818181818181819,0.7526041666666666,0.7908039847993356
4,validation,0.8,0.875,0.8076923076923077,0.8400000000000001,0.8777472527472527,0.9487610315254547
4,test,0.6808510638297872,0.6818181818181818,0.6521739130434783,0.6666666666666666,0.767776268115942,0.8198471494906485
5,validation,0.775,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.8241758241758241,0.9133419599031947
5,test,0.6702127659574468,0.6595744680851063,0.6739130434782609,0.6666666666666667,0.7593976449275361,0.8030991524808642
6,validation,0.9,0.9583333333333334,0.8846153846153846,0.9199999999999999,0.9649725274725274,0.9834080014898429
6,test,0.723404255319149,0.7941176470588235,0.5869565217391305,0.675,0.7693614130434783,0.8219069828845147
7,validation,0.775,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.889423076923077,0.9310183753311556
7,test,0.6808510638297872,0.6904761904761905,0.6304347826086957,0.6590909090909092,0.7606431159420289,0.8082061089300108
8,validation,0.875,0.92,0.8846153846153846,0.9019607843137256,0.9615384615384615,0.9804243387852358
8,test,0.6914893617021277,0.7428571428571429,0.5652173913043478,0.6419753086419753,0.7694746376811594,0.8208760959614458
9,validation,0.9,0.9583333333333334,0.8846153846153846,0.9199999999999999,0.9395604395604396,0.9712723341478675
9,test,0.723404255319149,0.7631578947368421,0.6304347826086957,0.6904761904761905,0.75,0.8008463031157762
