repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.825,0.88,0.8461538461538461,0.8627450980392156,0.9065934065934066,0.9588105318287086
0,test,0.648936170212766,0.6382978723404256,0.6521739130434783,0.6451612903225806,0.7069746376811594,0.7404956208867087
1,validation,0.8,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8983516483516483,0.9563606514568053
1,test,0.6382978723404256,0.625,0.6521739130434783,0.6382978723404256,0.6415307971014493,0.7063800216004693
2,validation,0.925,0.96,0.9230769230769231,0.9411764705882353,0.9642857142857143,0.9841916345149102
2,test,0.6276595744680851,0.6122448979591837,0.6521739130434783,0.631578947368421,0.6972373188405796,0.7332569828633095
3,validation,0.75,0.8333333333333334,0.7692307692307693,0.8,0.8324175824175823,0.9121075290377019
3,test,0.6382978723404256,0.625,0.6521739130434783,0.6382978723404256,0.6802536231884057,0.7265603280362417
4,validation,0.8,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8598901098901099,0.9424708561119555
4,test,0.6382978723404256,0.625,0.6521739130434783,0.6382978723404256,0.6589673913043478,0.7176057625641222
5,validation,0.75,0.8333333333333334,0.7692307692307693,0.8,0.8543956043956044,0.9321025072396224
5,test,0.6276595744680851,0.6078431372549019,0.6739130434782609,0.6391752577319587,0.6942934782608696,0.7412346392174022
6,validation,0.825,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.9423076923076923,0.9666056653761902
6,test,0.6382978723404256,0.6363636363636364,0.6086956521739131,0.6222222222222223,0.6519474637681161,0.7041634045137547
7,validation,0.725,0.8260869565217391,0.7307692307692307,0.7755102040816326,0.8571428571428571,0.91132035425133
7,test,0.6276595744680851,0.6170212765957447,0.6304347826086957,0.6236559139784946,0.7155797101449276,0.75971053568342
8,validation,0.85,0.8333333333333334,0.9615384615384616,0.8928571428571429,0.9340659340659341,0.9584662955358921
8,test,0.5851063829787234,0.559322033898305,0.717391304347826,0.6285714285714286,0.645606884057971,0.7029843899426149
9,validation,0.85,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.9423076923076924,0.9709118980433982
9,test,0.6063829787234043,0.5818181818181818,0.6956521739130435,0.6336633663366337,0.6786684782608696,0.7124005322654494
