repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,test,0.6276595744680851,0.72,0.391304347826087,0.5070422535211268,0.6490036231884059,0.7113543325780239
1,test,0.5106382978723404,0.0,0.0,0.0,0.3781702898550725,0.4290040960063546
2,test,0.6063829787234043,0.5652173913043478,0.8478260869565217,0.6782608695652174,0.6807065217391305,0.7242856721909793
3,test,0.648936170212766,0.6382978723404256,0.6521739130434783,0.6451612903225806,0.6929347826086957,0.7294130741293319
4,test,0.6276595744680851,0.6571428571428571,0.5,0.5679012345679013,0.6616847826086957,0.7172670154307397
5,test,0.5212765957446809,1.0,0.021739130434782608,0.042553191489361694,0.6277173913043479,0.6839006929564941
6,test,0.5106382978723404,0.0,0.0,0.0,0.490036231884058,0.5804266340471865
7,test,0.6382978723404256,0.6363636363636364,0.6086956521739131,0.6222222222222223,0.6897644927536232,0.7273286687175498
8,test,0.6276595744680851,0.8666666666666667,0.2826086956521739,0.4262295081967213,0.6322463768115943,0.6990446861354384
9,test,0.6063829787234043,0.6551724137931034,0.41304347826086957,0.5066666666666666,0.6616847826086957,0.7198340858602045
