repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.75,0.7352941176470589,0.9615384615384616,0.8333333333333333,0.7692307692307692,0.4290670114199526
0,test,0.6063829787234043,0.5652173913043478,0.8478260869565217,0.6782608695652174,0.7006340579710145,0.7365922927480708
1,validation,0.725,0.7272727272727273,0.9230769230769231,0.8135593220338984,0.6346153846153847,0.8485717274178813
1,test,0.574468085106383,0.5416666666666666,0.8478260869565217,0.6610169491525423,0.6440217391304347,0.6944419544742604
2,validation,0.675,0.6756756756756757,0.9615384615384616,0.7936507936507937,0.48626373626373626,0.3509957325746799
2,test,0.48936170212765956,0.48936170212765956,1.0,0.6571428571428571,0.5434782608695652,0.3811116179694314
3,validation,0.775,0.7428571428571429,1.0,0.8524590163934427,0.7142857142857143,0.8823529411764706
3,test,0.574468085106383,0.5416666666666666,0.8478260869565217,0.6610169491525423,0.6777626811594203,0.7080295849706981
4,validation,0.6,0.6388888888888888,0.8846153846153846,0.7419354838709676,0.5453296703296703,0.3836335645546172
4,test,0.48936170212765956,0.48936170212765956,1.0,0.6571428571428571,0.5394021739130435,0.30358975243226866
5,validation,0.675,0.6857142857142857,0.9230769230769231,0.7868852459016394,0.5329670329670331,0.3670816855027381
5,test,0.48936170212765956,0.48936170212765956,1.0,0.6571428571428571,0.5797101449275361,0.311479418423279
6,validation,0.775,0.7428571428571429,1.0,0.8524590163934427,0.75,0.8939393939393939
6,test,0.574468085106383,0.5416666666666666,0.8478260869565217,0.6610169491525423,0.6634963768115941,0.7043549890614208
7,validation,0.775,0.7428571428571429,1.0,0.8524590163934427,0.6785714285714286,0.8714285714285714
7,test,0.5957446808510638,0.5571428571428572,0.8478260869565217,0.6724137931034483,0.6664402173913043,0.7078108466538726
8,validation,0.8,0.7647058823529411,1.0,0.8666666666666666,0.7857142857142857,0.90625
8,test,0.5106382978723404,0.5,0.8478260869565217,0.6290322580645161,0.6644021739130435,0.6618775224513586
9,validation,0.725,0.7027027027027027,1.0,0.8253968253968255,0.6071428571428572,0.8513513513513513
9,test,0.5851063829787234,0.5492957746478874,0.8478260869565217,0.6666666666666667,0.6657608695652174,0.7042302016290867
