repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.65,0.65,1.0,0.787878787878788,0.5336538461538461,0.825
0,test,0.48936170212765956,0.48936170212765956,1.0,0.6571428571428571,0.5371376811594203,0.7446808510638298
1,validation,0.65,0.65,1.0,0.787878787878788,0.4368131868131868,0.825
1,test,0.48936170212765956,0.48936170212765956,1.0,0.6571428571428571,0.5187952898550725,0.7446808510638298
2,validation,0.825,1.0,0.7307692307692307,0.8444444444444443,0.9258241758241759,0.9675089119054636
2,test,0.6170212765957447,0.6388888888888888,0.5,0.5609756097560975,0.7119565217391304,0.7461876364150988
3,validation,0.675,0.8823529411764706,0.5769230769230769,0.6976744186046512,0.8653846153846154,0.9206559614822506
3,test,0.6170212765957447,0.6470588235294118,0.4782608695652174,0.55,0.7124094202898551,0.7441210851925627
4,validation,0.35,0.0,0.0,0.0,0.07005494505494504,0.4750567458892453
4,test,0.5106382978723404,0.0,0.0,0.0,0.4008152173913044,0.5137362505195738
5,validation,0.35,0.0,0.0,0.0,0.37774725274725274,0.5440057598980401
5,test,0.5106382978723404,0.0,0.0,0.0,0.4043251811594203,0.43365642400290516
6,validation,0.85,0.9545454545454546,0.8076923076923077,0.875,0.9560439560439562,0.9746568115934896
6,test,0.6595744680851063,0.7058823529411765,0.5217391304347826,0.6,0.7400362318840581,0.7754844561934806
7,validation,0.675,0.8823529411764706,0.5769230769230769,0.6976744186046512,0.8708791208791209,0.9141392605057239
7,test,0.6170212765957447,0.65625,0.45652173913043476,0.5384615384615383,0.7105978260869565,0.7434512930883007
8,validation,0.65,0.65,1.0,0.787878787878788,0.5844780219780219,0.825
8,test,0.48936170212765956,0.48936170212765956,1.0,0.6571428571428571,0.4989809782608695,0.7363850675897466
9,validation,0.825,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.9120879120879122,0.9539220672618092
9,test,0.6914893617021277,0.7428571428571429,0.5652173913043478,0.6419753086419753,0.7160326086956521,0.7488372612733102
