repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.825,0.9523809523809523,0.7692307692307693,0.8510638297872339,0.9134615384615385,0.9586225851606067
0,test,0.648936170212766,0.7096774193548387,0.4782608695652174,0.5714285714285714,0.7241847826086956,0.7560991220192806
1,validation,0.35,0.0,0.0,0.0,0.2912087912087912,0.527001189791445
1,test,0.5106382978723404,0.0,0.0,0.0,0.3774909420289855,0.4458381304957671
2,validation,0.825,1.0,0.7307692307692307,0.8444444444444443,0.9642857142857143,0.9862658495350802
2,test,0.6808510638297872,0.7857142857142857,0.4782608695652174,0.5945945945945946,0.7332427536231885,0.7700796627940009
3,validation,0.35,0.0,0.0,0.0,0.3392857142857143,0.4742180224662656
3,test,0.5106382978723404,0.0,0.0,0.0,0.39877717391304346,0.42992835162001963
4,validation,0.65,0.65,1.0,0.787878787878788,0.9175824175824177,0.9665111776095758
4,test,0.48936170212765956,0.48936170212765956,1.0,0.6571428571428571,0.704483695652174,0.7339929154792326
5,validation,0.725,0.8947368421052632,0.6538461538461539,0.7555555555555555,0.7857142857142856,0.8830363675304435
5,test,0.6170212765957447,0.6388888888888888,0.5,0.5609756097560975,0.7155797101449275,0.7446221305198449
6,validation,0.7,0.9375,0.5769230769230769,0.7142857142857143,0.9368131868131868,0.9600880899027237
6,test,0.6170212765957447,0.65625,0.45652173913043476,0.5384615384615383,0.7219202898550725,0.7508168049106634
7,validation,0.75,0.9,0.6923076923076923,0.7826086956521738,0.8708791208791209,0.917387504192678
7,test,0.6276595744680851,0.6666666666666666,0.4782608695652174,0.5569620253164557,0.7173913043478262,0.7461487344614015
8,validation,0.875,0.8888888888888888,0.9230769230769231,0.9056603773584906,0.967032967032967,0.9830182046934727
8,test,0.6914893617021277,0.7428571428571429,0.5652173913043478,0.6419753086419753,0.7531702898550725,0.7912393354914131
9,validation,0.65,0.65,1.0,0.787878787878788,0.5645604395604396,0.825
9,test,0.48936170212765956,0.48936170212765956,1.0,0.6571428571428571,0.5429121376811594,0.7363850675897466
