repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.825,0.9523809523809523,0.7692307692307693,0.8510638297872339,0.9162087912087913,0.962343184791542
0,test,0.6808510638297872,0.7222222222222222,0.5652173913043478,0.6341463414634146,0.7432065217391304,0.79542045647203
1,validation,0.825,0.88,0.8461538461538461,0.8627450980392156,0.8956043956043955,0.9532715728318888
1,test,0.6702127659574468,0.6666666666666666,0.6521739130434783,0.6593406593406593,0.7305253623188406,0.7517910615084779
2,validation,0.725,0.7142857142857143,0.9615384615384616,0.819672131147541,0.8736263736263736,0.9337100443902457
2,test,0.6063829787234043,0.5652173913043478,0.8478260869565217,0.6782608695652174,0.7010869565217392,0.7331148435659133
3,validation,0.825,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.9258241758241759,0.963618881117269
3,test,0.6808510638297872,0.7105263157894737,0.5869565217391305,0.6428571428571428,0.7560009057971016,0.8057815212539468
4,validation,0.825,1.0,0.7307692307692307,0.8444444444444443,0.8777472527472527,0.9493269328605867
4,test,0.723404255319149,0.9166666666666666,0.4782608695652174,0.6285714285714286,0.7614356884057971,0.8169282759259446
5,validation,0.775,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.8214285714285714,0.910883511376803
5,test,0.6808510638297872,0.6904761904761905,0.6304347826086957,0.6590909090909092,0.7539628623188406,0.7930048898384983
6,validation,0.9,0.9583333333333334,0.8846153846153846,0.9199999999999999,0.9697802197802199,0.9860963174473898
6,test,0.7127659574468085,0.7567567567567568,0.6086956521739131,0.674698795180723,0.7649456521739131,0.8181943508799006
7,validation,0.725,0.8571428571428571,0.6923076923076923,0.7659574468085107,0.8626373626373627,0.9123900148676549
7,test,0.6595744680851063,0.675,0.5869565217391305,0.627906976744186,0.7298460144927537,0.7770937140446755
8,validation,0.875,0.92,0.8846153846153846,0.9019607843137256,0.967032967032967,0.982920320061058
8,test,0.7127659574468085,0.8064516129032258,0.5434782608695652,0.6493506493506493,0.7658514492753623,0.8212154918522115
9,validation,0.9,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9423076923076923,0.9746796605729607
9,test,0.6808510638297872,0.7,0.6086956521739131,0.6511627906976744,0.7469429347826086,0.8029812548019508
