repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,validation,0.825,0.88,0.8461538461538461,0.8627450980392156,0.9258241758241759,0.9650970756910581
0,test,0.648936170212766,0.6326530612244898,0.6739130434782609,0.6526315789473685,0.6820652173913043,0.7131534893022063
1,validation,0.825,0.9130434782608695,0.8076923076923077,0.8571428571428572,0.8818681318681318,0.9490676650981418
1,test,0.6276595744680851,0.6122448979591837,0.6521739130434783,0.631578947368421,0.6616847826086956,0.7228835495539325
2,validation,0.9,1.0,0.8461538461538461,0.9166666666666666,0.9587912087912087,0.9800387157119576
2,test,0.6276595744680851,0.6078431372549019,0.6739130434782609,0.6391752577319587,0.7264492753623188,0.7559573436680789
3,validation,0.75,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.8461538461538461,0.9188936377746882
3,test,0.6063829787234043,0.5957446808510638,0.6086956521739131,0.6021505376344086,0.6539855072463769,0.7249909259856382
4,validation,0.8,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8653846153846154,0.9391534984508079
4,test,0.6382978723404256,0.625,0.6521739130434783,0.6382978723404256,0.6535326086956522,0.7052521249953406
5,validation,0.75,0.8636363636363636,0.7307692307692307,0.7916666666666666,0.8324175824175825,0.9210551864666607
5,test,0.6382978723404256,0.6304347826086957,0.6304347826086957,0.6304347826086957,0.6616847826086956,0.712889988546228
6,validation,0.875,0.92,0.8846153846153846,0.9019607843137256,0.9368131868131868,0.9615036977854708
6,test,0.5851063829787234,0.574468085106383,0.5869565217391305,0.5806451612903226,0.6182065217391305,0.6940112431646434
7,validation,0.775,0.9047619047619048,0.7307692307692307,0.8085106382978723,0.8873626373626373,0.9250004351881129
7,test,0.6702127659574468,0.7027027027027027,0.5652173913043478,0.6265060240963856,0.6702898550724637,0.7311498699138892
8,validation,0.85,0.8333333333333334,0.9615384615384616,0.8928571428571429,0.923076923076923,0.9540649407987596
8,test,0.5638297872340425,0.5490196078431373,0.6086956521739131,0.577319587628866,0.6141304347826088,0.6918240422905071
9,validation,0.875,0.92,0.8846153846153846,0.9019607843137256,0.9532967032967032,0.9765008561665731
9,test,0.648936170212766,0.6444444444444445,0.6304347826086957,0.6373626373626373,0.6897644927536233,0.7241545707117223
