repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,test,0.6276595744680851,0.7037037037037037,0.41304347826086957,0.5205479452054794,0.5828804347826086,0.6603146417335068
1,test,0.6063829787234043,0.5652173913043478,0.8478260869565217,0.6782608695652174,0.6114130434782609,0.7437557816836262
2,test,0.5851063829787234,0.6129032258064516,0.41304347826086957,0.49350649350649356,0.5815217391304348,0.6565903733102563
3,test,0.5638297872340425,0.5641025641025641,0.4782608695652174,0.5176470588235293,0.589447463768116,0.6730467760937827
4,test,0.648936170212766,0.782608695652174,0.391304347826087,0.5217391304347826,0.5600090579710144,0.6483795201929845
5,test,0.6276595744680851,0.7619047619047619,0.34782608695652173,0.4776119402985074,0.6195652173913043,0.6915666673904477
6,test,0.5851063829787234,0.6129032258064516,0.41304347826086957,0.49350649350649356,0.5815217391304348,0.6565903733102563
7,test,0.5957446808510638,0.625,0.43478260869565216,0.5128205128205128,0.592391304347826,0.6681891766882517
8,test,0.5851063829787234,0.6129032258064516,0.41304347826086957,0.49350649350649356,0.5815217391304348,0.6565903733102563
9,test,0.574468085106383,0.575,0.5,0.5348837209302325,0.5729166666666666,0.6598404255319148
