,repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,1,test,0.7857142857142857,0.782608695652174,0.8181818181818182,0.8,0.884090909090909,0.885716820748572
1,2,test,0.8809523809523809,0.8695652173913043,0.9090909090909091,0.888888888888889,0.8977272727272727,0.8659165951558173
2,3,test,0.8571428571428571,0.8076923076923077,0.9545454545454546,0.875,0.9431818181818181,0.9463450351800504
3,4,test,0.9761904761904762,1.0,0.9523809523809523,0.975609756097561,0.9954648526077097,0.9957651044607567
4,5,test,0.8095238095238095,0.7241379310344828,1.0,0.8400000000000001,0.9070294784580499,0.8870735966389103
5,6,test,0.8333333333333334,0.7916666666666666,0.9047619047619048,0.8444444444444444,0.9047619047619048,0.892287149917586
6,7,test,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9410430839002266,0.9363516994172918
7,8,test,0.8333333333333334,0.85,0.8095238095238095,0.8292682926829269,0.9319727891156462,0.9402868474089126
8,9,test,0.8571428571428571,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.9022727272727273,0.8984271669018139
9,10,test,0.9047619047619048,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.925,0.8867971945442257
