,repeats,set,accuracy,precision,recall,f1,roc_auc,pr_auc
0,1,test,0.7038112522686026,0.6712570038656995,0.6824615384615382,0.6734982374812883,0.7595741315136476,0.8083570195742874
1,2,test,0.6903206291591047,0.64700641738684,0.6824615384615385,0.6627530364372469,0.7779717741935485,0.8133873481610815
2,3,test,0.679491833030853,0.6500015926102882,0.6590769230769231,0.6478482790897967,0.7549519230769232,0.8017198342318526
3,4,test,0.6973381730187539,0.6527031063321386,0.7126153846153847,0.6800177473767761,0.7793570099255585,0.8170551388582105
4,5,test,0.6972171808832426,0.6626406926406927,0.6741538461538462,0.6650044386869626,0.766389888337469,0.8127412858994519
5,6,test,0.7279491833030853,0.693001813001813,0.704923076923077,0.697183125790229,0.7842586848635236,0.8262544671638189
6,7,test,0.6865093768905022,0.639728835978836,0.6981538461538461,0.6657771787960466,0.7876395781637717,0.8231321915462912
7,8,test,0.7107683000604961,0.6749078615772326,0.7206153846153847,0.6936928194875629,0.7965186104218362,0.8357267115859288
8,9,test,0.689655172413793,0.643427559912854,0.7058461538461538,0.6697669256381797,0.7845412531017371,0.8235114354785029
9,10,test,0.6788263762855414,0.6358161289511404,0.7286153846153846,0.6722543259282135,0.7824848014888338,0.8269916344936267
